Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
04:36:33 PM,-9.44,-76.68,-34.05,1.72,-28.9,5.15,1.72,-8.3
04:36:33 PM,-9.44,-76.68,-34.9,1.72,-29.75,5.15,1.72,-8.3
04:36:33 PM,-9.44,-76.68,-34.9,0.57,-30.04,5.15,1.72,-8.3
04:36:33 PM,-9.44,-76.68,-34.9,-0.57,-31.19,5.15,1.72,-8.3
04:36:33 PM,-9.44,-76.39,-34.62,-1.14,-32.62,5.15,1.72,-8.3
04:36:33 PM,-8.87,-52.93,-32.62,-1.14,-32.33,5.15,2.57,-8.01
04:36:33 PM,19.17,2.57,-30.9,-1.43,-33.19,21.17,20.6,1.14
04:36:33 PM,52.64,40.91,-28.32,-2,-33.19,44.06,38.91,18.02
04:36:33 PM,54.93,48.64,-26.61,-2.57,-33.47,46.63,42.92,26.04
04:36:33 PM,54.93,48.64,-27.47,-4.01,-34.9,46.63,42.92,26.04
04:36:33 PM,54.93,48.64,-28.61,-4.86,-36.91,46.63,42.92,26.04
04:36:33 PM,54.93,48.64,-30.33,-6.01,-39.2,46.63,42.92,26.04
04:36:33 PM,54.93,48.64,-31.76,-6.58,-40.91,46.63,42.92,26.04
04:36:33 PM,54.93,46.06,-33.47,-8.01,-42.92,46.92,42.92,26.04
04:36:33 PM,37.77,20.31,-35.76,-10.01,-46.35,39.2,32.33,17.17
04:36:33 PM,-16.88,-18.6,-38.05,-11.16,-49.21,0,-1.43,-16.59
04:36:33 PM,-32.04,-30.9,-40.05,-10.87,-50.64,-18.02,-18.88,-37.77
04:36:33 PM,-32.04,-30.9,-38.91,-10.01,-50.07,-18.02,-19.17,-38.34
04:36:33 PM,-32.04,-30.9,-37.48,-9.44,-49.21,-18.02,-19.17,-38.34
04:36:33 PM,-32.04,-30.9,-36.62,-9.44,-48.64,-18.02,-19.17,-38.34
04:36:33 PM,-32.04,-30.9,-34.9,-9.16,-47.49,-18.02,-19.17,-38.34
04:36:33 PM,-32.04,-27.18,-31.47,-8.01,-44.92,-18.02,-19.17,-38.34
04:36:33 PM,-24.32,-6.29,-28.61,-7.44,-43.49,-15.16,-13.45,-35.76
04:36:33 PM,2,6.58,-26.04,-6.29,-41.48,13.16,14.02,-16.02
04:36:33 PM,13.73,18.31,-21.46,-4.58,-38.05,33.47,34.62,9.16
04:36:33 PM,14.88,20.03,-18.6,-3.72,-36.34,34.62,36.62,13.45
04:36:33 PM,14.88,20.03,-17.45,-3.15,-35.76,34.62,36.62,13.45
04:36:33 PM,14.88,20.03,-17.17,-2.57,-36.05,34.62,36.62,13.45
04:36:33 PM,14.88,20.03,-17.74,-2.29,-36.91,34.62,36.62,13.45
04:36:33 PM,14.88,20.03,-18.88,-2.86,-38.05,34.62,36.62,13.45
04:36:33 PM,14.31,14.31,-19.74,-3.15,-39.2,34.33,35.48,12.59
04:36:33 PM,6.29,5.72,-21.17,-3.72,-39.77,21.46,19.45,-1.14
04:36:33 PM,0,3.72,-24.03,-5.44,-41.48,0.57,-0.29,-20.31
04:36:33 PM,-0.29,3.43,-28.61,-8.3,-44.35,-2,-4.01,-26.32
04:36:33 PM,-0.29,3.43,-31.19,-8.87,-44.92,-2,-4.01,-26.32
04:36:33 PM,-0.29,3.43,-30.33,-7.44,-42.34,-2,-4.01,-26.32
04:36:33 PM,-0.29,3.43,-26.89,-5.44,-38.62,-2,-4.01,-26.32
04:36:33 PM,-0.29,3.43,-23.46,-3.43,-35.76,-2,-4.01,-26.32
04:36:33 PM,-0.29,10.01,-22.32,-2.86,-34.62,-2,-4.01,-26.32
04:36:33 PM,-0.86,23.75,-22.03,-2.57,-33.76,3.43,5.72,-20.31
04:36:33 PM,2.29,30.04,-20.6,-2,-32.33,22.6,22.6,-1.72
04:36:33 PM,5.44,34.9,-18.02,-1.43,-30.33,28.61,28.32,10.59
04:36:33 PM,5.44,34.9,-16.02,-0.57,-28.61,28.61,28.32,11.16
04:36:33 PM,5.44,34.9,-14.31,0.29,-27.75,28.61,28.32,11.16
04:36:33 PM,5.44,34.9,-13.73,1.72,-27.18,28.61,28.32,11.16
04:36:33 PM,5.44,34.9,-13.16,3.43,-26.32,28.61,28.32,11.16
04:36:33 PM,5.44,33.76,-12.3,5.72,-24.32,28.61,28.32,11.16
04:36:33 PM,4.01,21.46,-12.02,8.01,-22.32,27.47,25.75,9.73
04:36:33 PM,-20.03,1.72,-10.3,10.01,-20.6,8.3,7.72,-4.58
04:36:33 PM,-35.19,-8.3,-10.01,13.16,-19.17,-10.3,-6.87,-21.46
04:36:33 PM,-35.19,-8.58,-7.72,15.74,-16.88,-11.44,-8.3,-24.32
04:36:33 PM,-35.19,-8.58,-5.44,17.45,-14.88,-11.44,-8.3,-24.32
04:36:33 PM,-35.19,-8.58,-3.15,18.6,-13.45,-11.44,-8.3,-24.32
04:36:33 PM,-35.19,-8.58,-1.72,19.45,-11.73,-11.44,-8.3,-24.32
04:36:33 PM,-35.19,-8.58,-0.57,20.03,-10.59,-11.44,-8.3,-24.32
04:36:33 PM,-35.19,-7.72,0.86,21.46,-8.87,-11.44,-7.72,-24.32
04:36:33 PM,-11.73,10.3,2.57,22.32,-7.44,9.16,10.87,-8.01
04:36:33 PM,35.76,41.2,5.15,22.32,-6.01,46.35,42.92,27.18
04:36:33 PM,41.48,46.06,5.72,22.03,-5.72,52.36,50.35,39.2
04:36:33 PM,41.48,45.78,4.86,22.03,-6.29,52.36,50.35,39.2
04:36:33 PM,41.48,45.78,5.15,22.6,-5.72,52.36,50.35,39.2
04:36:33 PM,41.48,45.78,4.86,23.17,-5.72,52.36,50.35,39.2
04:36:33 PM,41.48,45.78,4.01,23.17,-6.01,52.36,50.35,39.2
04:36:33 PM,41.48,40.05,3.72,23.46,-6.29,52.36,50.35,39.2
04:36:33 PM,29.75,11.73,4.01,23.46,-6.58,47.49,43.77,35.48
04:36:33 PM,-8.87,-5.44,3.15,23.75,-6.87,25.18,24.6,20.89
04:36:33 PM,-19.17,-10.87,0.86,23.75,-8.3,13.45,11.73,8.01
04:36:33 PM,-19.45,-10.87,0.29,24.03,-8.01,13.16,11.44,7.44
04:36:33 PM,-19.45,-10.87,0.57,24.03,-7.72,13.16,11.44,7.15
04:36:33 PM,-19.45,-10.87,0.86,23.17,-7.44,13.16,11.44,7.15
04:36:33 PM,-19.45,-10.87,1.43,22.6,-6.87,13.16,11.44,7.44
04:36:33 PM,-19.45,-10.87,2.57,21.46,-6.87,13.16,11.44,7.44
04:36:33 PM,-17.74,-21.46,2.57,20.03,-7.72,15.74,16.59,11.16
04:36:33 PM,-3.43,-73.24,2.29,18.88,-8.01,37.48,38.91,30.33
04:36:33 PM,4.58,-103.28,4.01,18.88,-6.87,50.35,50.93,45.2
04:36:33 PM,5.15,-104.43,6.29,19.45,-5.72,50.93,51.78,46.92
04:36:33 PM,5.15,-104.43,6.87,18.88,-6.01,51.21,51.78,47.21
04:36:33 PM,5.15,-104.43,4.86,17.45,-8.58,51.21,51.78,47.21
04:36:33 PM,5.15,-104.43,3.43,16.59,-10.59,51.21,51.78,47.21
04:36:33 PM,5.15,-104.71,2.29,16.31,-11.73,51.21,51.78,47.21
04:36:33 PM,4.86,-118.16,0.86,15.74,-12.87,50.64,50.93,46.63
04:36:33 PM,-1.72,-145.05,-0.57,15.74,-13.73,33.76,36.05,32.62
04:36:33 PM,-12.02,-163.08,-2.86,15.16,-15.16,-0.86,8.87,1.43
04:36:33 PM,-13.73,-166.23,-5.15,14.02,-16.88,-7.44,2.29,-9.44
04:36:33 PM,-13.73,-166.23,-6.29,12.87,-17.74,-7.44,2.29,-9.44
04:36:33 PM,-13.73,-166.23,-6.87,12.02,-18.02,-7.44,2.29,-9.44
04:36:33 PM,-13.73,-166.23,-6.87,10.87,-18.02,-7.44,2.29,-9.44
04:36:33 PM,-13.73,-166.23,-8.01,9.44,-18.88,-7.44,2.29,-9.44
04:36:33 PM,-13.73,-153.35,-9.16,8.3,-20.03,-7.44,2.29,-9.44
04:36:33 PM,-5.72,-84.69,-9.16,8.01,-20.31,-1.72,10.01,-3.15
04:36:33 PM,29.47,6.29,-7.44,8.3,-19.45,26.04,32.9,18.31
04:36:33 PM,37.77,42.92,-5.44,9.16,-17.74,35.19,41.77,33.76
04:36:33 PM,37.77,44.35,-6.29,8.87,-18.31,35.19,41.77,34.62
04:36:33 PM,37.77,44.35,-8.58,8.01,-20.03,35.19,41.77,34.62
04:36:33 PM,37.77,44.35,-11.44,7.44,-21.74,35.19,41.77,34.62
04:36:33 PM,37.77,44.35,-14.31,6.87,-23.46,35.19,41.77,34.62
04:36:33 PM,37.77,44.35,-16.88,6.29,-24.89,35.19,41.77,34.62
04:36:33 PM,36.91,45.2,-19.17,5.44,-26.32,33.47,38.05,31.47
04:36:33 PM,15.45,51.21,-21.74,4.29,-28.04,11.44,12.02,5.72
04:36:33 PM,-1.43,50.35,-26.04,3.15,-30.9,-7.72,-8.3,-17.74
04:36:33 PM,-1.72,50.35,-29.18,2.86,-31.76,-8.87,-10.01,-21.46
04:36:33 PM,-1.72,50.35,-30.9,2.57,-31.76,-8.87,-10.01,-21.46
04:36:33 PM,-1.72,50.35,-30.33,2.29,-31.19,-8.87,-10.01,-21.46
04:36:33 PM,-1.72,50.35,-29.75,2.29,-30.33,-8.87,-10.01,-21.46
04:36:33 PM,-1.72,50.64,-29.47,2,-29.75,-8.87,-10.01,-21.46
04:36:33 PM,-1.72,59.22,-28.9,1.14,-29.47,-8.87,-9.16,-21.17
04:36:33 PM,17.17,65.8,-30.04,0,-30.61,8.87,11.73,-8.3
04:36:33 PM,45.2,68.95,-30.61,-1.72,-31.76,34.62,36.05,12.3
04:36:33 PM,47.21,68.95,-30.04,-3.72,-32.9,36.91,40.05,19.45
04:36:33 PM,47.21,68.95,-30.04,-4.58,-34.05,36.91,40.05,19.45
04:36:33 PM,46.92,68.95,-30.04,-4.58,-34.9,36.91,40.05,19.17
04:36:33 PM,46.92,68.95,-29.18,-3.43,-34.62,36.91,39.77,19.17
04:36:33 PM,46.92,68.66,-28.04,-2.57,-34.33,36.91,39.77,19.17
04:36:33 PM,46.92,67.81,-27.47,-1.14,-33.76,36.62,39.77,19.17
04:36:33 PM,38.62,50.35,-26.61,-0.57,-34.05,31.76,34.62,14.88
04:36:33 PM,-8.87,20.03,-29.18,-0.57,-35.19,4.86,11.73,-4.86
04:36:33 PM,-25.75,8.58,-31.76,-0.57,-36.62,-7.44,-2.29,-20.03
04:36:33 PM,-25.75,8.3,-32.9,-1.14,-37.77,-7.44,-2.86,-20.6
04:36:33 PM,-25.75,8.3,-32.9,-1.14,-37.77,-7.44,-2.86,-20.6
04:36:33 PM,-25.75,8.3,-32.33,-1.14,-36.91,-7.44,-2.86,-20.6
04:36:33 PM,-25.75,8.3,-30.9,-1.72,-36.34,-7.44,-2.86,-20.6
04:36:33 PM,-25.75,12.59,-29.47,-2,-36.34,-7.44,-2.86,-20.6
04:36:33 PM,-18.02,34.9,-28.04,-1.43,-35.76,-4.01,2.57,-17.74
04:36:33 PM,22.03,48.64,-26.04,-0.86,-34.33,25.75,27.75,0.86
04:36:33 PM,41.77,55.5,-23.46,-1.14,-33.19,44.63,44.35,23.17
04:36:33 PM,42.92,56.08,-23.17,-2.29,-33.47,45.49,45.78,26.61
04:36:33 PM,42.92,56.08,-24.03,-4.01,-34.9,45.49,45.78,26.89
04:36:33 PM,42.92,56.36,-25.75,-5.72,-37.19,45.49,45.78,26.89
04:36:33 PM,42.92,56.36,-29.18,-8.87,-42.06,45.78,46.06,26.89
04:36:33 PM,42.92,43.2,-33.19,-11.16,-46.06,45.78,45.78,26.89
04:36:33 PM,42.92,-4.29,-35.48,-12.59,-48.07,45.49,45.49,26.32
04:36:33 PM,34.05,-31.19,-37.19,-14.02,-49.21,38.05,34.05,14.59
04:36:33 PM,21.46,-38.91,-39.2,-14.88,-50.93,18.88,15.74,-4.86
04:36:33 PM,20.89,-39.48,-41.77,-15.45,-52.64,16.02,12.59,-11.44
04:36:33 PM,20.89,-39.48,-41.77,-14.88,-52.36,16.02,12.59,-11.44
04:36:33 PM,20.89,-39.48,-39.77,-14.31,-50.64,16.02,12.59,-11.44
04:36:33 PM,20.89,-39.48,-38.34,-13.73,-49.78,16.02,12.59,-11.44
04:36:33 PM,20.89,-39.48,-38.05,-13.45,-49.21,16.02,12.59,-11.44
04:36:33 PM,20.89,-40.05,-37.19,-13.16,-48.64,16.02,12.59,-11.44
04:36:33 PM,30.9,-46.63,-36.34,-14.02,-48.64,22.03,22.6,-6.29
04:36:33 PM,58.94,-47.78,-35.19,-14.88,-48.64,47.78,46.63,13.16
04:36:33 PM,63.23,-44.06,-32.33,-14.88,-47.21,55.22,54.93,25.46
04:36:33 PM,63.23,-44.06,-30.33,-13.73,-46.35,55.22,54.93,26.32
04:36:33 PM,62.94,-44.06,-29.75,-12.59,-46.06,55.22,54.93,26.04
04:36:33 PM,62.94,-44.35,-28.9,-12.02,-45.78,55.22,54.65,26.04
04:36:33 PM,62.94,-44.06,-28.9,-11.73,-45.2,55.22,54.65,26.04
04:36:33 PM,62.94,-34.9,-28.9,-12.87,-45.49,55.22,54.93,26.04
04:36:33 PM,58.65,-39.77,-30.9,-14.88,-48.07,51.5,47.21,21.17
04:36:33 PM,10.3,-94.13,-34.05,-16.59,-50.35,11.73,5.72,-9.44
04:36:33 PM,-14.88,-113.58,-36.62,-17.45,-52.07,-18.02,-22.89,-36.05
04:36:33 PM,-14.88,-113.87,-37.19,-18.31,-52.93,-19.74,-25.18,-40.05
04:36:33 PM,-14.88,-113.87,-37.48,-20.31,-53.5,-19.74,-25.18,-40.05
04:36:33 PM,-14.88,-113.87,-38.05,-22.89,-55.22,-19.74,-25.18,-40.05
04:36:33 PM,-14.88,-113.87,-38.34,-25.46,-56.08,-19.74,-25.18,-40.05
04:36:33 PM,-14.88,-113.87,-37.48,-27.47,-56.36,-19.74,-25.18,-40.05
04:36:33 PM,-14.88,-107.57,-37.77,-30.04,-58.08,-19.45,-24.32,-39.77
